iter	Passed	Remaining
0	136	136759
1	139	69842
2	143	47684
3	146	36515
4	149	29823
5	153	25370
6	156	22224
7	160	19940
8	166	18361
9	170	16860
10	173	15635
11	177	14623
12	181	13749
13	184	13020
14	188	12378
15	191	11803
16	196	11357
17	200	10942
18	204	10534
19	207	10180
20	211	9855
21	215	9572
22	218	9286
23	223	9086
24	227	8885
25	231	8688
26	235	8477
27	238	8291
28	242	8133
29	246	7962
30	250	7824
31	253	7680
32	258	7566
33	262	7459
34	266	7341
35	270	7232
36	273	7124
37	278	7043
38	281	6928
39	283	6812
40	286	6701
41	288	6580
42	290	6462
43	292	6349
44	294	6240
45	295	6131
46	297	6025
47	299	5934
48	300	5836
49	302	5739
50	303	5650
51	304	5557
52	306	5469
53	307	5384
54	308	5308
55	310	5230
56	311	5154
57	312	5080
58	314	5008
59	315	4940
60	316	4871
61	317	4805
62	318	4742
63	319	4679
64	321	4621
65	322	4563
66	323	4511
67	324	4449
68	325	4396
69	326	4343
70	328	4293
71	329	4245
72	330	4199
73	331	4152
74	333	4107
75	334	4062
76	336	4030
77	337	3988
78	338	3947
79	339	3907
80	340	3867
81	342	3829
82	343	3791
83	344	3754
84	345	3714
85	346	3679
86	347	3642
87	348	3610
88	350	3583
89	351	3550
90	352	3519
91	353	3489
92	354	3460
93	355	3430
94	357	3401
95	358	3372
96	359	3346
97	360	3319
98	361	3293
99	363	3268
100	364	3243
101	364	3213
102	366	3188
103	367	3163
104	368	3139
105	369	3118
106	370	3095
107	372	3072
108	373	3049
109	374	3029
110	375	3011
111	377	2989
112	378	2969
113	379	2948
114	380	2928
115	381	2907
116	382	2887
117	383	2867
118	384	2846
119	385	2827
120	387	2813
121	388	2795
122	389	2774
123	390	2757
124	391	2740
125	392	2723
126	393	2706
127	394	2687
128	395	2671
129	396	2655
130	397	2639
131	398	2623
132	400	2610
133	401	2596
134	402	2581
135	404	2566
136	405	2552
137	406	2536
138	407	2522
139	408	2508
140	409	2494
141	410	2480
142	411	2466
143	413	2455
144	414	2443
145	415	2432
146	417	2420
147	418	2407
148	419	2396
149	421	2387
150	422	2375
151	423	2362
152	424	2350
153	425	2339
154	427	2329
155	428	2317
156	429	2307
157	430	2296
158	431	2284
159	433	2273
160	434	2263
161	435	2252
162	436	2241
163	437	2231
164	439	2222
165	440	2212
166	441	2202
167	442	2192
168	443	2182
169	445	2172
170	446	2163
171	447	2153
172	448	2144
173	449	2134
174	450	2126
175	452	2117
176	453	2108
177	454	2099
178	455	2091
179	457	2082
180	457	2070
181	458	2061
182	460	2053
183	461	2045
184	462	2036
185	463	2028
186	464	2021
187	466	2013
188	467	2005
189	468	1997
190	469	1989
191	470	1981
192	472	1974
193	473	1966
194	474	1958
195	475	1950
196	477	1944
197	478	1937
198	479	1930
199	480	1922
200	481	1915
201	482	1907
202	483	1899
203	485	1892
204	486	1885
205	487	1878
206	488	1871
207	489	1864
208	490	1858
209	492	1852
210	493	1845
211	494	1838
212	495	1831
213	497	1825
214	498	1818
215	499	1811
216	500	1804
217	501	1798
218	502	1792
219	503	1786
220	505	1780
221	506	1773
222	507	1767
223	508	1761
224	509	1754
225	510	1748
226	511	1742
227	512	1736
228	513	1730
229	514	1723
230	516	1718
231	517	1712
232	518	1708
233	520	1704
234	522	1700
235	523	1695
236	525	1693
237	527	1687
238	528	1682
239	529	1677
240	533	1679
241	534	1674
242	535	1669
243	537	1665
244	539	1661
245	540	1656
246	541	1651
247	543	1647
248	544	1642
249	545	1637
250	547	1634
251	549	1630
252	550	1624
253	551	1619
254	552	1614
255	553	1610
256	555	1606
257	557	1602
258	558	1597
259	560	1596
260	562	1592
261	563	1587
262	565	1583
263	566	1580
264	567	1575
265	569	1570
266	570	1566
267	571	1561
268	572	1557
269	574	1552
270	575	1547
271	576	1543
272	577	1538
273	579	1534
274	580	1529
275	581	1525
276	582	1521
277	584	1516
278	585	1512
279	586	1508
280	587	1503
281	588	1499
282	590	1495
283	591	1492
284	593	1488
285	594	1484
286	595	1480
287	596	1475
288	598	1471
289	599	1467
290	600	1462
291	601	1458
292	602	1454
293	604	1451
294	605	1447
295	606	1443
296	607	1439
297	609	1434
298	610	1430
299	611	1426
300	612	1422
301	613	1418
302	614	1414
303	616	1410
304	617	1406
305	618	1402
306	619	1398
307	620	1394
308	622	1391
309	623	1387
310	624	1383
311	625	1380
312	627	1376
313	628	1373
314	629	1369
315	631	1365
316	632	1362
317	633	1358
318	634	1354
319	635	1350
320	636	1346
321	637	1343
322	639	1339
323	640	1335
324	641	1332
325	642	1329
326	644	1325
327	645	1322
328	646	1318
329	647	1315
330	649	1312
331	650	1308
332	651	1305
333	652	1301
334	653	1298
335	655	1294
336	656	1291
337	657	1288
338	658	1284
339	660	1281
340	661	1278
341	662	1274
342	663	1271
343	664	1267
344	665	1264
345	666	1260
346	668	1257
347	669	1254
348	670	1251
349	672	1248
350	673	1244
351	674	1241
352	675	1238
353	676	1234
354	677	1231
355	679	1228
356	680	1225
357	681	1221
358	682	1218
359	684	1216
360	685	1212
361	686	1209
362	687	1206
363	688	1202
364	689	1199
365	690	1196
366	691	1193
367	693	1190
368	694	1187
369	695	1184
370	697	1181
371	698	1178
372	699	1175
373	700	1172
374	701	1169
375	702	1166
376	703	1163
377	705	1160
378	706	1157
379	707	1154
380	708	1151
381	709	1148
382	710	1145
383	712	1142
384	713	1139
385	714	1136
386	715	1133
387	716	1130
388	717	1127
389	719	1124
390	720	1121
391	721	1118
392	722	1116
393	724	1113
394	725	1110
395	726	1107
396	727	1104
397	728	1101
398	729	1099
399	730	1096
400	732	1093
401	733	1090
402	735	1088
403	736	1086
404	737	1083
405	738	1080
406	740	1078
407	741	1075
408	742	1072
409	743	1069
410	744	1066
411	745	1064
412	746	1061
413	747	1058
414	749	1056
415	750	1053
416	751	1051
417	752	1048
418	754	1045
419	755	1042
420	756	1040
421	757	1037
422	758	1034
423	759	1032
424	761	1029
425	762	1027
426	763	1024
427	764	1021
428	765	1019
429	766	1016
430	767	1013
431	769	1011
432	770	1008
433	771	1006
434	772	1003
435	773	1000
436	774	998
437	776	995
438	777	993
439	778	990
440	779	988
441	780	985
442	781	982
443	782	980
444	784	977
445	785	975
446	786	973
447	787	970
448	789	968
449	790	965
450	791	963
451	792	960
452	793	958
453	794	955
454	796	953
455	797	951
456	798	948
457	799	946
458	800	943
459	801	941
460	803	939
461	804	936
462	805	934
463	806	932
464	807	929
465	809	927
466	810	924
467	811	922
468	812	920
469	813	917
470	814	915
471	816	913
472	817	911
473	818	908
474	820	906
475	821	904
476	822	901
477	823	899
478	824	896
479	825	894
480	826	892
481	828	889
482	829	887
483	830	885
484	831	883
485	832	880
486	834	878
487	835	876
488	836	873
489	837	871
490	838	869
491	839	866
492	841	865
493	842	863
494	844	861
495	845	858
496	846	856
497	847	854
498	848	852
499	850	850
500	851	847
501	852	845
502	853	843
503	854	841
504	855	838
505	857	836
506	858	834
507	859	832
508	860	830
509	861	827
510	863	825
511	864	823
512	865	821
513	866	819
514	867	817
515	869	815
516	870	813
517	871	810
518	872	808
519	873	806
520	874	804
521	876	802
522	877	800
523	878	798
524	879	796
525	880	793
526	882	791
527	883	789
528	884	787
529	885	785
530	886	783
531	888	781
532	889	779
533	890	777
534	891	775
535	893	773
536	894	771
537	895	769
538	896	767
539	897	764
540	899	762
541	900	760
542	901	758
543	902	756
544	903	754
545	904	752
546	905	750
547	906	747
548	908	746
549	909	744
550	910	741
551	911	739
552	912	737
553	913	735
554	915	733
555	916	731
556	917	729
557	918	727
558	919	725
559	920	723
560	921	721
561	922	719
562	924	717
563	925	715
564	926	713
565	927	711
566	928	709
567	929	707
568	931	705
569	932	703
570	933	701
571	934	699
572	935	697
573	936	695
574	937	693
575	939	691
576	940	689
577	941	687
578	942	685
579	943	683
580	944	681
581	945	679
582	947	677
583	948	675
584	949	673
585	950	671
586	951	669
587	952	667
588	953	665
589	955	664
590	956	662
591	958	660
592	959	658
593	960	656
594	962	654
595	963	653
596	964	651
597	965	649
598	967	647
599	968	645
600	969	643
601	970	641
602	971	639
603	973	637
604	974	636
605	975	634
606	976	632
607	977	630
608	979	628
609	980	626
610	981	624
611	982	622
612	983	621
613	984	619
614	986	617
615	987	615
616	988	613
617	989	611
618	990	609
619	992	608
620	993	606
621	994	604
622	995	602
623	996	600
624	997	598
625	998	596
626	999	594
627	1000	592
628	1002	591
629	1003	589
630	1004	587
631	1005	585
632	1006	583
633	1007	581
634	1008	579
635	1010	578
636	1011	576
637	1012	574
638	1013	572
639	1014	570
640	1016	569
641	1017	567
642	1018	565
643	1019	563
644	1020	561
645	1021	559
646	1022	558
647	1024	556
648	1025	554
649	1026	552
650	1027	550
651	1028	549
652	1029	547
653	1030	545
654	1032	543
655	1033	541
656	1034	540
657	1035	538
658	1036	536
659	1037	534
660	1039	532
661	1040	531
662	1041	529
663	1042	527
664	1044	526
665	1045	524
666	1046	522
667	1047	520
668	1048	518
669	1049	517
670	1051	515
671	1052	513
672	1053	512
673	1055	510
674	1056	508
675	1057	506
676	1058	505
677	1059	503
678	1060	501
679	1061	499
680	1063	497
681	1064	496
682	1065	494
683	1066	492
684	1068	491
685	1069	489
686	1070	487
687	1071	485
688	1072	484
689	1073	482
690	1075	480
691	1076	479
692	1077	477
693	1078	475
694	1080	474
695	1081	472
696	1082	470
697	1083	468
698	1085	467
699	1086	465
700	1087	463
701	1088	462
702	1089	460
703	1090	458
704	1092	456
705	1093	455
706	1094	453
707	1095	451
708	1096	450
709	1097	448
710	1098	446
711	1099	444
712	1100	443
713	1102	441
714	1103	440
715	1105	438
716	1106	436
717	1107	434
718	1108	433
719	1109	431
720	1110	429
721	1112	428
722	1113	426
723	1114	424
724	1115	423
725	1116	421
726	1117	419
727	1119	418
728	1120	416
729	1121	414
730	1122	413
731	1123	411
732	1125	409
733	1126	408
734	1127	406
735	1128	404
736	1129	403
737	1130	401
738	1131	399
739	1133	398
740	1134	396
741	1135	394
742	1136	393
743	1137	391
744	1138	389
745	1140	388
746	1141	386
747	1142	384
748	1143	383
749	1144	381
750	1146	379
751	1147	378
752	1148	376
753	1149	375
754	1150	373
755	1151	371
756	1152	370
757	1153	368
758	1155	366
759	1156	365
760	1157	363
761	1158	361
762	1159	360
763	1161	358
764	1162	357
765	1163	355
766	1164	353
767	1165	352
768	1166	350
769	1167	348
770	1168	347
771	1170	345
772	1171	343
773	1172	342
774	1173	340
775	1174	339
776	1175	337
777	1176	335
778	1178	334
779	1179	332
780	1180	331
781	1181	329
782	1182	327
783	1184	326
784	1185	324
785	1186	323
786	1188	321
787	1189	319
788	1190	318
789	1191	316
790	1192	315
791	1193	313
792	1194	311
793	1195	310
794	1197	308
795	1198	307
796	1199	305
797	1200	303
798	1201	302
799	1202	300
800	1204	299
801	1205	297
802	1206	295
803	1207	294
804	1208	292
805	1209	291
806	1211	289
807	1212	288
808	1213	286
809	1214	284
810	1215	283
811	1217	281
812	1218	280
813	1219	278
814	1220	277
815	1221	275
816	1222	273
817	1223	272
818	1224	270
819	1225	269
820	1226	267
821	1228	265
822	1229	264
823	1230	262
824	1231	261
825	1232	259
826	1233	258
827	1234	256
828	1236	254
829	1237	253
830	1238	251
831	1239	250
832	1241	248
833	1242	247
834	1243	245
835	1244	244
836	1245	242
837	1246	240
838	1247	239
839	1249	237
840	1250	236
841	1251	234
842	1252	233
843	1254	231
844	1255	230
845	1256	228
846	1257	227
847	1258	225
848	1259	224
849	1260	222
850	1262	220
851	1263	219
852	1264	217
853	1265	216
854	1266	214
855	1267	213
856	1268	211
857	1270	210
858	1271	208
859	1272	207
860	1273	205
861	1282	205
862	1283	203
863	1285	202
864	1286	200
865	1288	199
866	1290	197
867	1293	196
868	1294	195
869	1296	193
870	1297	192
871	1299	190
872	1300	189
873	1303	187
874	1304	186
875	1306	184
876	1307	183
877	1309	181
878	1310	180
879	1311	178
880	1316	177
881	1317	176
882	1318	174
883	1320	173
884	1321	171
885	1322	170
886	1323	168
887	1325	167
888	1326	165
889	1328	164
890	1330	162
891	1331	161
892	1333	159
893	1334	158
894	1336	156
895	1337	155
896	1338	153
897	1340	152
898	1341	150
